date,BTC,ETH,SOL,DOGE,XRP,BNB,ADA
2018-01-02,9.7011,14.4702,,2.2472,3.7599,5.0294,7.3967
2018-01-03,1.4611,8.8503,,2.1978,25.1723,7.899,37.9632
2018-01-04,2.6196,1.8907,,3.2258,2.9368,-3.3757,3.1861
2018-01-05,11.7333,1.7125,,27.0833,-4.6268,61.8971,-10.2774
2018-01-06,0.5594,4.4061,,22.1311,1.4859,52.5742,2.7611
2018-01-07,-5.9873,10.7029,,14.7651,9.1726,-18.0274,-1.8205
2018-01-08,-7.935,-0.4024,,-12.2807,-27.284,-2.122,-10.8577
2018-01-09,-3.7884,13.1655,,-10.6667,-14.4288,-4.6498,-9.3771
2018-01-10,2.5892,-3.3791,,-2.2388,-6.0377,-0.1206,-2.6513
2018-01-11,-10.4686,-8.0338,,-12.2137,-1.2203,20.999,-13.2014
2018-01-12,4.2877,10.2404,,13.913,4.7365,6.0525,30.3748
2018-01-13,2.7152,9.678,,-0.7634,-1.0718,-0.6359,-1.493
2018-01-14,-4.096,-2.1233,,-10.0,-7.9206,-6.3005,-9.2523
2018-01-15,0.3471,-5.4764,,-15.3846,-9.913,-5.8362,-2.954
2018-01-16,-16.8548,-18.44,,-31.3131,-29.6714,-28.9951,-19.5351
2018-01-17,-2.6274,-3.743,,11.7647,10.7785,2.2409,0.415
2018-01-18,2.5589,2.172,,5.2632,22.2231,0.5435,4.88
2018-01-19,1.1547,0.2721,,-1.25,-2.7934,4.6231,-1.4095
2018-01-20,11.1291,11.1683,,6.3291,1.7139,8.3645,8.7625
2018-01-21,-10.0712,-9.1391,,-15.4762,-12.5808,-13.1066,-13.3286
2018-01-22,-5.7646,-4.4132,,-5.6338,-1.6449,-7.4899,-6.9635
2018-01-23,-0.5763,-1.6976,,0.0,-1.4882,0.6062,-1.2971
2018-01-24,4.5177,7.3564,,5.9701,1.4958,4.0875,10.4955
2018-01-25,-0.8803,-0.2597,,8.4507,-3.3085,-2.9372,2.459
2018-01-26,-0.7816,-0.0814,,-6.4935,-7.2321,-0.0771,-2.2118
2018-01-27,2.4106,4.9186,,2.7778,0.1479,0.2633,-1.0587
2018-01-28,3.0208,12.5503,,1.3514,14.806,2.1671,8.6738
2018-01-29,-4.1565,-5.1083,,-6.6667,-5.4015,-5.7289,-7.0267
2018-01-30,-10.5352,-9.4075,,-14.2857,-14.003,-11.8595,-14.6502
2018-01-31,1.1359,4.4047,,0.0,2.0903,-0.9395,-2.3689
2018-02-01,-10.2783,-7.2896,,-16.6667,-17.1972,-14.6182,-18.7945
2018-02-02,-3.7052,-11.6711,,-10.0,-8.0727,1.4345,-7.3986
2018-02-03,3.8973,5.267,,15.5556,4.4304,1.0091,12.3688
2018-02-04,-9.7865,-13.4164,,-15.3846,-11.7208,-13.2425,-13.5597
2018-02-05,-15.9688,-16.3812,,-20.4545,-15.1894,-20.7316,-13.6831
2018-02-06,11.4838,13.6358,,25.7143,12.229,23.6212,12.9505
2018-02-07,-1.7114,-4.5458,,-2.2727,-6.762,-2.3381,-7.9502
2018-02-08,8.4538,8.0229,,6.9767,11.2446,6.1828,4.7591
2018-02-09,5.703,8.0775,,8.6957,18.5148,13.2046,9.8149
2018-02-10,-1.3172,-2.6531,,0.0,12.1857,-4.8764,3.6517
2018-02-11,-5.7056,-5.3178,,0.0,-6.2109,-5.954,-8.8938
2018-02-12,9.7983,6.6343,,10.0,7.6479,7.0949,3.921
2018-02-13,-3.6773,-2.6993,,1.8182,-4.9584,-3.601,-2.8623
2018-02-14,10.4244,9.2638,,19.6429,11.1154,15.732,6.322
2018-02-15,7.0753,1.4525,,8.9552,0.4643,5.1007,3.1494
2018-02-16,0.664,0.7721,,-4.1096,-0.776,2.4746,-1.3679
2018-02-17,8.5871,3.1672,,0.0,5.8875,4.3538,3.9871
2018-02-18,-5.0474,-5.1528,,-8.5714,-7.0124,-8.4428,-8.1686
2018-02-19,6.3828,2.1586,,4.6875,2.133,3.488,1.5301
2018-02-20,1.5893,-5.1378,,5.9701,-4.7973,-10.5745,-3.2439
2018-02-21,-6.255,-5.0705,,-7.0423,-6.8013,-5.2875,-3.8015
2018-02-22,-6.4114,-4.3679,,-4.5455,-7.2484,-5.0827,-7.2722
2018-02-23,2.9595,6.3166,,4.7619,6.0629,8.8511,2.19
2018-02-24,-4.7376,-2.7394,,-4.5455,-4.4549,-5.6768,-6.4582
2018-02-25,-1.5117,0.511,,-3.1746,-1.1421,2.2391,6.5015
2018-02-26,7.2632,2.9007,,3.2787,1.4202,5.9455,-1.657
2018-02-27,3.462,1.0295,,0.0,-1.0032,7.6507,-0.8277
2018-02-28,-3.0553,-2.6263,,-4.7619,-4.5075,-2.0798,-6.8256
